Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
ATP,Clay,5,89,4.2,0.87254902,0.12745098,1
ATP,Grass,5,88.9,4.1,0.893203883,0.106796117,1
ATP,Hard,5,88.5,3.7,0.961165049,0.038834951,1
WTA,Grass,3,88.5,5.75,0.932038835,0.067961165,1
ATP,Clay,3,73.75,24.25,0.950980392,0.049019608,1
WTA,Grass,3,88.5,5.75,0.892156863,0.107843137,1
WTA,Hard,3,88.5,5.75,0.873786408,0.126213592,1
WTA,Grass,3,88.5,5.75,0.854368932,0.145631068,1
WTA,Hard,3,88.5,5.75,0.833333333,0.166666667,1
ATP,Hard,3,69.25,20.5,0.950980392,0.049019608,1
WTA,Hard,3,88.5,5.75,0.815533981,0.184466019,1
WTA,Hard,3,88.5,5.75,0.81372549,0.18627451,1
WTA,Hard,3,88.5,5.75,0.81372549,0.18627451,1
WTA,Hard,3,88.5,5.75,0.786407767,0.213592233,1
ATP,Hard,5,88.5,3.7,0.786407767,0.213592233,1
WTA,Hard,3,88.5,5.75,0.766990291,0.233009709,1
WTA,Hard,3,88.5,5.75,0.757281553,0.242718447,1
WTA,Hard,3,88.5,5.75,0.737864078,0.262135922,1
WTA,Hard,3,88.5,5.75,0.72815534,0.27184466,1
WTA,Grass,3,88.5,5.75,0.718446602,0.281553398,1
WTA,Hard,3,88.5,5.75,0.718446602,0.281553398,1
ATP,Hard,3,67.25,28.25,0.950980392,0.049019608,0
WTA,Clay,3,88.5,5.75,0.676470588,0.323529412,1
ATP,Clay,3,65.5,31,0.950980392,0.049019608,0
ATP,Clay,3,63.75,39,0.950980392,0.049019608,0
ATP,Hard,3,83.75,5,0.941747573,0.058252427,1
WTA,Hard,3,88.5,5.75,0.650485437,0.349514563,1
ATP,Hard,5,88.5,3.7,0.650485437,0.349514563,1
WTA,Hard,3,88.5,5.75,0.640776699,0.359223301,1
ATP,Clay,5,88.5,3.7,0.637254902,0.362745098,1
WTA,Hard,3,88.5,5.75,0.62745098,0.37254902,1
WTA,Hard,3,88.5,5.75,0.582524272,0.417475728,1
ATP,Hard,3,83,10,0.941747573,0.058252427,1
ATP,Hard,3,81,7.5,0.941747573,0.058252427,1
WTA,Hard,3,88.5,5.75,0.558823529,0.441176471,1
ATP,Hard,3,77.5,13.75,0.941747573,0.058252427,1
WTA,Hard,3,88.5,5.75,0.485436893,0.514563107,1
WTA,Hard,3,88.5,5.75,0.485436893,0.514563107,1
WTA,Hard,3,88.5,5.75,0.446601942,0.553398058,1
WTA,Grass,3,88.5,5.75,0.441176471,0.558823529,1
ATP,Hard,3,76.75,13,0.941747573,0.058252427,1
ATP,Clay,5,88.5,3.7,0.436893204,0.563106796,1
WTA,Grass,3,88.5,5.75,0.427184466,0.572815534,1
ATP,Hard,3,76.25,12.5,0.941747573,0.058252427,1
ATP,Clay,5,88.1,1.7,0.961165049,0.038834951,1
