Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4938662631,anilprao88,0,142.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Esteban Ocon,,Lando Norris,D,100.00%,36.9
2,4938441927,gwashko1,0,138.6,CNSTR McLaren  CPT Andrea Kimi Antonelli D Lando Norris D Isack Hadjar D Oliver Bearman D Gabriel Bortoleto,,Andrea Kimi Antonelli,D,100.00%,24
3,4941010940,maxwell52361,0,135.1,CNSTR McLaren  CPT Isack Hadjar D Lando Norris D Andrea Kimi Antonelli D Oliver Bearman D Pierre Gasly,,McLaren,CNSTR,100.00%,48.7
4,4938654287,109stairs,0,134.05,CNSTR McLaren  CPT Lando Norris D Andrea Kimi Antonelli D Yuki Tsunoda D Esteban Ocon D Franco Colapinto,,Isack Hadjar,D,75.00%,3
,,,,,,,Oliver Bearman,D,75.00%,14
,,,,,,,Esteban Ocon,D,50.00%,4
,,,,,,,Pierre Gasly,D,25.00%,7
,,,,,,,Gabriel Bortoleto,D,25.00%,0
,,,,,,,Yuki Tsunoda,D,25.00%,1
,,,,,,,Franco Colapinto,D,25.00%,1
