Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4936572650,molecul0,0,548.08,F Gabriel Bonfim F Josh Hokit F Joseph Morales F Muslim Salikhov F Chris Padilla F Jamall Emmers,,Randy Brown,F,71.43%,13.2
2,4940936315,ckk-244ayk,0,514.85,F Jacqueline Cavalcanti F Gabriel Bonfim F Chris Padilla F Ricky Simon F Jamall Emmers F Daniel Marcos,,Josh Hokit,F,71.43%,139.24
3,4940006029,mayamaya,0,502.83,F Randy Brown F Josh Hokit F Joseph Morales F Chris Padilla F Ricky Simon F Jamall Emmers,,Gabriel Bonfim,F,57.14%,94
4,4939033155,NoWay_KemoSabi,0,396.67,F Denise Gomes F Jacqueline Cavalcanti F Randy Brown F Uros Medic F Chris Padilla F Hyder Amil,,Chris Padilla,F,57.14%,106.43
5,4938857634,moklovin,0,377.57,F Gabriel Bonfim F Randy Brown F Josh Hokit F Raoni Barcelos F Ricky Simon F Hyder Amil,,Hyder Amil,F,57.14%,25.91
6,4941489132,IamtheEnemy,0,348.58,F Randy Brown F Josh Hokit F Joseph Morales F Muslim Salikhov F Raoni Barcelos F Hyder Amil,,Joseph Morales,F,42.86%,100.56
7,4941357395,NextlevelK,0,301.54,F Gabriel Bonfim F Randy Brown F Josh Hokit F Muslim Salikhov F Marco Tulio F Hyder Amil,,Muslim Salikhov,F,42.86%,0.8
,,,,,,,Ricky Simon,F,42.86%,36.35
,,,,,,,Jamall Emmers,F,42.86%,107.05
,,,,,,,Jacqueline Cavalcanti,F,28.57%,65.05
,,,,,,,Raoni Barcelos,F,28.57%,68.87
,,,,,,,Denise Gomes,F,14.29%,82.53
,,,,,,,Uros Medic,F,14.29%,103.55
,,,,,,,Marco Tulio,F,14.29%,28.39
,,,,,,,Daniel Marcos,F,14.29%,105.97
